,open,close,high,low,volume,money,change,pe,pb,cap,dyr,roe
2018-06-04,8872.08,8826.02,8893.02,8720.42,167791.0,3794646.0,-0.28,36.42,4.2,31810.9,0.69,8.67
2018-06-05,8840.96,9079.36,9080.36,8840.52,174566.0,4031845.0,2.87,37.35,4.31,32598.55,0.69,8.67
2018-06-06,9084.13,9151.43,9154.16,9052.32,155669.0,3600570.0,0.79,37.78,4.36,32952.03,0.68,8.67
2018-06-07,9171.05,9037.14,9179.76,9029.33,149936.0,3323442.0,-1.25,37.31,4.31,32551.59,0.68,8.66
2018-06-08,9012.19,8986.19,9047.41,8918.34,149989.0,3293372.0,-0.56,37.11,4.29,32351.06,0.69,8.65
2018-06-11,8964.93,8776.27,8985.34,8742.17,139837.0,3384536.0,-2.34,36.39,4.2,31630.06,0.68,8.66
2018-06-12,8784.56,8917.53,8922.87,8714.92,149997.0,3376133.0,1.61,37.02,4.27,32222.9,0.68,8.67
2018-06-13,8892.17,8744.27,8892.75,8740.88,136335.0,2883428.0,-1.94,36.3,4.19,31626.72,0.71,8.66
2018-06-14,8722.3,8682.17,8811.88,8650.64,123825.0,2737949.0,-0.71,36.05,4.16,31400.86,0.7,8.67
2018-06-15,8673.78,8521.84,8699.59,8488.85,147866.0,2817346.0,-1.85,35.38,4.09,30832.58,0.72,8.65
2018-06-19,8408.67,8167.4,8505.06,8065.16,199352.0,3841535.0,-4.16,33.94,3.92,29675.39,0.7,8.66
2018-06-20,8144.98,8366.94,8390.5,8104.97,165020.0,3343424.0,2.44,34.74,4.02,30366.86,0.68,8.64
2018-06-21,8364.26,8294.62,8498.05,8290.7,166441.0,3447377.0,-0.86,34.5,3.99,30151.71,0.69,8.65
2018-06-22,8223.58,8367.36,8367.65,8164.88,125699.0,2502081.0,0.88,34.77,4.0,30377.73,0.74,8.69
2018-06-25,8419.49,8361.88,8446.84,8357.3,128568.0,2604310.0,-0.07,34.79,4.0,30392.14,0.72,8.7
2018-06-26,8263.97,8355.54,8360.52,8233.72,124158.0,2546119.0,-0.08,34.74,3.99,30371.3,0.72,8.71
2018-06-27,8351.23,8158.27,8390.76,8132.12,132084.0,2799914.0,-2.36,33.9,3.9,29634.34,0.75,8.69
2018-06-28,8108.35,8035.02,8178.19,8035.02,115319.0,2414019.0,-1.51,33.4,3.84,29201.0,0.76,8.7
2018-06-29,8051.91,8326.76,8332.16,8045.86,142235.0,2870467.0,3.63,34.6,3.98,30209.09,0.73,8.69
2018-07-02,8325.26,8290.75,8453.72,8222.13,176902.0,3411538.0,-0.43,34.49,3.97,30280.05,0.7,8.69
2018-07-03,8285.93,8247.1,8311.64,7991.87,164254.0,3393758.0,-0.53,34.28,3.95,30082.11,0.71,8.68
2018-07-04,8208.38,8083.29,8215.91,8065.08,126464.0,2529515.0,-1.99,33.61,3.87,29505.37,0.73,8.68
2018-07-05,8060.37,7875.38,8109.14,7866.17,127866.0,2539442.0,-2.57,32.75,3.78,28780.92,0.77,8.66
2018-07-06,7856.78,7901.38,8008.9,7721.78,154730.0,2980902.0,0.33,32.87,3.8,28850.69,0.81,8.65
2018-07-09,7903.47,8163.32,8163.32,7902.0,157667.0,3076120.0,3.32,33.96,3.92,29771.13,0.77,8.66
2018-07-10,8172.23,8244.22,8244.59,8139.03,183494.0,3228275.0,0.99,34.24,3.96,30037.92,0.77,8.65
2018-07-11,8105.6,8170.28,8219.85,8029.96,176622.0,3284734.0,-0.9,33.97,3.93,29797.7,0.78,8.64
2018-07-12,8165.6,8388.05,8426.92,8165.3,200533.0,3955474.0,2.67,34.87,4.03,16987.11,0.76,8.65
2018-07-13,8377.76,8530.3,8591.14,8375.23,206647.0,4091227.0,1.7,35.47,4.11,17274.65,0.79,8.63
2018-07-16,8478.97,8538.84,8556.91,8462.09,163864.0,3193948.0,0.1,35.54,4.1,31299.8,0.8,8.67
