,name,pe,pe_ratio,pe_state,pe_min,pe_max,pe_median,pe_mean,pe_drop,pe_q10,pe_q20,pe_q40,pe_q50,pe_q60,pe_q80,pe_q90,pb,pb_ratio,pb_state,pb_min,pb_max,pb_median,pb_mean,pb_drop,pb_q10,pb_q20,pb_q40,pb_q50,pb_q60,pb_q80,pb_q90,dyr,dyr_ratio,dyr_state,dyr_min,dyr_max,dyr_median,dyr_mean,dyr_drop,dyr_q10,dyr_q20,dyr_q40,dyr_q50,dyr_q60,dyr_q80,dyr_q90,roe,roe_ratio,roe_state,roe_min,roe_max,roe_median,roe_mean,roe_drop,roe_q10,roe_q20,roe_q40,roe_q50,roe_q60,roe_q80,roe_q90,vlt,roi,stocks,sample,start,update,aid
801130,纺织服装I,25.44,40.75,合理,18.13,38.67,26.33,27.47,-28.73,20.86,22.61,25.33,26.33,28.19,32.35,35.09,1.83,25.94,偏低,1.5,3.4,2.22,2.28,-18.03,1.69,1.78,2.1,2.22,2.34,2.69,3.08,1.65,60.99,偏高,0.66,2.66,1.55,1.66,-60.0,1.19,1.37,1.48,1.55,1.63,2.05,2.29,13.9,90.71,极高,10.77,14.23,12.04,12.14,-22.52,11.27,11.34,11.71,12.04,12.14,12.54,13.87,17.29,-10.7,83,1087,2017-01-23,2020-01-22,3
801720,建筑装饰I,9.62,5.98,极低,8.85,21.9,15.53,14.83,-8.0,9.95,10.46,12.73,15.53,16.88,18.84,19.57,1.01,6.72,极低,0.91,2.25,1.6,1.56,-9.9,1.04,1.13,1.37,1.6,1.76,1.95,2.01,1.82,90.25,极高,0.58,11.78,1.16,1.34,-68.13,1.02,1.03,1.09,1.16,1.27,1.69,1.8,9.52,41.77,合理,8.97,10.11,9.55,9.51,-5.78,9.16,9.21,9.5,9.55,9.61,9.72,9.85,15.22,-8.0,128,1087,2017-01-23,2020-01-22,3
801150,医药生物I,38.78,71.48,偏高,23.49,42.74,37.37,36.18,-39.43,28.8,32.79,36.34,37.37,38.25,39.86,40.88,3.64,32.47,偏低,2.56,4.43,3.99,3.8,-29.67,3.1,3.33,3.92,3.99,4.04,4.19,4.26,0.64,24.84,偏低,0.52,1.1,0.69,0.72,-18.75,0.57,0.62,0.67,0.69,0.72,0.81,0.91,10.65,96.14,极高,8.5,10.8,9.5,9.53,-20.19,8.69,9.09,9.37,9.5,9.7,9.9,10.44,17.34,2.39,321,1087,2017-01-23,2020-01-22,3
801110,家用电器I,17.35,56.38,合理,10.55,22.99,16.67,16.78,-39.19,11.77,13.86,16.05,16.67,17.98,19.88,20.46,3.41,63.1,偏高,2.19,4.4,3.25,3.27,-35.78,2.46,2.94,3.18,3.25,3.36,3.72,3.92,2.24,66.67,偏高,1.03,3.39,2.09,2.05,-54.02,1.57,1.68,1.95,2.09,2.17,2.4,2.52,5.09,52.54,合理,4.67,5.95,5.07,5.12,-8.25,4.75,4.79,5.01,5.07,5.16,5.26,5.65,19.01,9.18,59,729,2017-01-23,2020-01-22,3
801080,电子I,49.66,90.67,极高,22.74,68.43,37.58,38.84,-54.21,25.44,30.51,34.84,37.58,39.38,46.61,49.12,4.01,88.61,较高,2.09,4.57,3.3,3.26,-47.88,2.35,2.66,3.08,3.3,3.49,3.84,4.03,0.47,14.68,较低,0.28,1.02,0.62,0.63,-40.43,0.35,0.48,0.53,0.62,0.66,0.86,0.91,12.38,76.68,偏高,9.92,18.33,10.98,11.87,-19.87,10.31,10.72,10.86,10.98,11.79,12.44,13.51,27.27,6.4,257,729,2017-01-23,2020-01-22,3
801760,传媒I,44.04,91.63,极高,19.49,47.48,34.1,33.17,-55.74,22.48,26.08,32.0,34.1,35.98,38.53,41.65,2.52,51.85,合理,1.7,4.0,2.4,2.65,-32.54,1.88,2.09,2.26,2.4,2.81,3.33,3.46,0.64,45.13,合理,0.25,1.03,0.67,0.68,-60.94,0.37,0.56,0.61,0.67,0.73,0.85,0.9,17.48,99.73,极高,11.12,17.48,11.67,12.73,-36.38,11.36,11.4,11.61,11.67,11.82,14.95,16.61,25.43,-9.25,168,729,2017-01-23,2020-01-22,3
801740,国防军工I,61.25,31.28,偏低,53.17,155.88,67.77,76.8,-13.19,55.91,58.02,63.86,67.77,73.57,95.17,103.78,2.53,50.21,合理,1.86,4.1,2.52,2.66,-26.48,2.05,2.22,2.42,2.52,2.65,3.19,3.32,0.31,80.11,较高,0.17,0.39,0.23,0.25,-45.16,0.18,0.19,0.21,0.23,0.26,0.3,0.33,24.21,15.64,较低,23.28,38.54,28.19,28.44,-3.84,23.5,26.29,27.9,28.19,28.63,30.38,32.18,18.34,-6.1,68,729,2017-01-23,2020-01-22,3
801210,休闲服务I,32.49,29.63,偏低,24.92,52.36,36.55,36.9,-23.3,27.44,30.5,33.79,36.55,39.28,42.81,45.41,3.48,26.89,偏低,2.68,4.55,3.68,3.63,-22.99,3.0,3.32,3.61,3.68,3.76,3.87,4.03,0.7,50.48,合理,0.25,1.01,0.69,0.69,-64.29,0.44,0.64,0.68,0.69,0.71,0.77,0.83,9.34,43.35,合理,8.5,12.61,9.8,10.11,-8.99,8.98,9.14,9.31,9.8,10.84,11.17,11.58,22.92,1.22,33,729,2017-01-23,2020-01-22,3
801040,钢铁I,9.44,43.9,合理,5.69,82.18,9.8,16.95,-39.72,6.38,7.16,9.1,9.8,12.21,22.55,26.63,0.9,4.39,极低,0.83,1.93,1.35,1.34,-7.78,0.92,1.01,1.22,1.35,1.44,1.7,1.76,4.32,87.11,较高,0.21,5.41,2.47,2.26,-95.14,0.34,0.9,1.16,2.47,2.81,3.98,4.4,10.49,68.04,偏高,5.77,48.98,7.96,11.52,-45.0,5.87,6.35,7.21,7.96,9.53,14.67,15.21,16.31,-5.15,32,729,2017-01-23,2020-01-22,3
801170,交通运输I,16.92,21.26,偏低,14.35,27.64,18.62,19.7,-15.19,16.11,16.76,18.13,18.62,20.48,23.48,24.15,1.41,17.97,较低,1.26,2.11,1.57,1.64,-10.64,1.35,1.41,1.5,1.57,1.75,1.9,1.95,1.61,59.95,合理,1.07,2.13,1.43,1.49,-33.54,1.23,1.25,1.31,1.43,1.6,1.74,1.82,12.0,36.49,偏低,10.47,13.35,12.12,11.99,-12.75,10.76,11.24,12.03,12.12,12.22,12.72,12.97,12.93,-3.55,116,729,2017-01-23,2020-01-22,3
801230,综合I,33.61,47.46,合理,23.11,81.29,34.85,39.93,-31.24,25.44,27.57,31.57,34.85,41.16,51.25,54.64,1.91,54.32,合理,1.12,3.93,1.82,2.1,-41.36,1.35,1.54,1.69,1.82,2.04,2.77,3.19,0.31,15.23,较低,0.21,0.91,0.52,0.51,-32.26,0.25,0.34,0.48,0.52,0.56,0.68,0.73,17.6,22.5,偏低,15.77,21.81,19.41,19.0,-10.4,16.77,17.55,18.46,19.41,19.65,20.53,20.76,15.58,-8.05,35,729,2017-01-23,2020-01-22,3
801020,采掘I,12.83,9.05,极低,11.87,81.55,15.73,21.92,-7.48,12.87,13.32,14.78,15.73,17.53,26.71,30.07,1.12,7.96,极低,1.03,1.9,1.32,1.4,-8.04,1.13,1.17,1.25,1.32,1.43,1.69,1.77,2.43,88.75,较高,0.32,4.1,2.08,1.91,-86.83,0.58,1.81,2.02,2.08,2.14,2.26,2.44,11.46,31.14,偏低,11.18,44.91,11.82,14.83,-2.44,11.32,11.38,11.53,11.82,12.04,15.62,17.94,15.03,-6.3,66,729,2017-01-23,2020-01-22,3
801790,非银金融I,15.72,19.75,较低,13.54,23.71,17.48,18.18,-13.87,14.93,15.72,17.04,17.48,18.25,21.05,22.18,1.9,52.26,合理,1.43,2.28,1.88,1.86,-24.74,1.57,1.64,1.83,1.88,1.92,2.05,2.12,1.44,9.88,极低,1.31,2.65,1.64,1.77,-9.03,1.44,1.47,1.55,1.64,1.79,2.16,2.27,8.27,3.16,极低,8.24,11.61,9.74,9.75,-0.36,8.75,9.23,9.57,9.74,10.08,10.37,10.45,21.21,4.59,79,729,2017-01-23,2020-01-22,3
